Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,FamilySize,CustomerTenure,TotalSpend,Cluster_KMeans,Cluster_GMM,Cluster_HDBSCAN,PCA1,PCA2
2,5,37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,79,0,4506,317,3,3,-1,-0.018833050719256787,-1.3919410171625821
3,3,76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,76,1,4297,1782,1,1,-1,2.0787831533265515,-0.12841840301743573
0,4,33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,40,1,4442,133,0,3,-1,-1.1373103434380518,-2.6832160734753305
2,3,37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,43,0,4529,316,0,3,-1,-0.06959173712851077,-1.4470179934324052
2,3,2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,46,1,4378,1730,0,1,-1,-0.22920683144228834,-1.117208067354914
4,3,58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,76,1,4392,972,3,3,3,0.7856076281790544,0.34331089344456267
4,3,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,71,1,4008,544,2,2,-1,0.33789370883133196,2.1933977813508587
2,5,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,74,1,4307,444,0,3,3,-0.46809123519068213,-0.9712919172447284
2,4,18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,56,0,4382,75,0,0,-1,-0.890896703746933,-1.6551081311419507
2,3,53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,49,2,4237,257,3,3,0,-1.0020211227649047,0.3857595002815826
2,4,51381.5,1,0,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,39,1,4333,637,3,3,3,0.02288315784511559,-0.42391533914473384
2,3,38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,36,1,4233,131,0,2,3,-0.9651474662011506,-0.13629874233710398
4,3,84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,60,0,4058,1672,1,1,-1,2.7768150642510134,1.0166971974718764
3,2,10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,36,0,3877,30,2,0,-1,-1.3530284637755174,1.1816921357448336
3,5,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,62,0,4253,318,3,2,-1,0.0004248144862426035,-0.3155674677582623
2,5,40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,55,1,4466,120,3,3,3,-0.7674723254398754,-1.1043288672290452
4,2,46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,73,2,4447,302,3,3,-1,-0.9110887309549437,0.9536390730265992
3,3,68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,79,0,4333,1196,1,1,2,1.7938185571368352,0.29226743115710413
3,4,49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,74,2,4143,65,2,0,0,-1.2367722645168924,0.6986078374132464
4,3,67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,55,1,4019,913,2,1,3,0.8120787605572665,1.8158617555214889
0,3,23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,49,1,4139,81,0,0,-1,-1.6425309280200178,-1.614452057119397
2,6,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,52,1,3977,67,0,0,3,-0.9280462851231821,-0.27928608447151276
4,2,48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,82,0,4352,902,1,3,-1,0.9896903086900495,0.3670771591234672
2,3,80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,45,1,4265,1395,1,1,-1,1.6193706402731258,0.21162381025618857
3,3,20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,40,1,4313,53,0,0,3,-1.4278882353333344,-0.47524000557069085
2,5,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,68,1,4391,22,3,0,3,-1.4571283746419388,-0.7630194895831296
4,4,51381.5,0,0,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,66,0,4075,186,2,2,-1,0.2293566899098373,0.8420246875700051
3,3,7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,50,1,4109,31,2,0,-1,-1.9440633303533121,0.6867539113227892
2,4,79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,49,0,3840,984,1,1,2,1.6491083527444304,0.6083456498051926
0,3,7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,29,0,4436,122,0,0,-1,-1.361350489882642,-2.428206141453984
2,5,41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,57,1,4240,55,0,0,3,-0.8762487365509362,-0.9364171710746263
2,4,51381.5,2,1,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,74,3,4018,124,2,2,-1,-1.8449436939902544,0.3528194423111856
4,3,72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,71,2,4437,1319,3,3,-1,0.9721465884070919,0.7326627115208489
2,6,65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,68,1,3887,507,2,1,-1,0.157617390363056,0.7850120926821261
3,3,79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,61,0,4526,1693,1,1,-1,2.715959304801207,-0.24414329221838
2,4,35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,48,1,4382,72,0,0,3,-1.0084127423676836,-0.9774389088015132
2,2,82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,48,0,3861,1617,1,1,-1,2.364230610629264,0.8968100493685969
2,3,66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,47,2,4221,606,3,3,-1,-0.23348806027506544,0.03428844430060376
3,5,82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,70,0,4426,1957,1,1,-1,3.1173781510336864,-0.6155206173828512
2,2,70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,59,0,4292,1093,1,1,-1,1.6132180325084404,-0.29400648642413385
2,4,27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,37,1,3901,29,2,0,3,-1.4949106309369067,0.6758618616430516
2,4,51381.5,1,0,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,43,1,4216,46,0,0,3,-0.6487375043415675,-0.36328008808361745
4,3,55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,57,1,3957,518,2,2,3,0.03655817270439321,1.7120009976306263
3,4,75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,43,0,4199,1438,1,1,2,2.2319823307833415,0.5718529096755978
2,5,66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,50,2,4499,612,3,3,-1,-0.07006192309056825,-0.6922537621601494
2,4,61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,73,1,4335,884,3,1,3,0.5976118971751688,-0.42877513199268813
4,6,67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,74,1,4222,606,3,1,-1,0.6349741931069215,1.1479875464881444
2,5,70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,77,0,4044,1076,1,1,2,1.5699882653507764,0.17573619510989358
2,3,25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,54,1,4243,34,0,0,3,-1.4178859515800162,-0.702369167207974
2,5,32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,58,2,3888,11,2,0,-1,-1.9804670502536321,1.1546945924858418
0,4,88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,46,1,3941,1274,1,1,-1,1.4478032339198859,-0.1648029898240287
2,5,69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,67,1,4114,653,3,1,3,0.48408690760917117,0.42626560840700933
2,5,74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,55,3,4286,1562,3,3,-1,0.5228132770799538,-0.44898688164431094
3,3,66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,71,0,4495,1253,1,1,-1,1.8734318273342336,-0.20353254504411483
0,3,51381.5,1,0,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,52,1,4492,109,0,0,-1,-0.6723413245089179,-2.043842447772864
2,3,65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,66,1,4308,863,3,1,3,0.6357658274574229,-0.23915909030833743
4,3,60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,50,2,4289,661,3,3,-1,-0.1295784856650503,0.7027228167174285
2,3,28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,73,0,3899,65,0,0,-1,-0.8534057690573303,0.31710832342172834
2,2,40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,48,1,4396,13,0,0,3,-0.9763394965405948,-0.8971649607983057
3,3,75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,53,0,4510,1890,1,1,-1,2.8186335439502717,-0.5266706036262293
2,4,75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,49,0,4464,2209,1,1,-1,3.0977218775080577,-1.164512981482939
0,5,26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,49,0,4137,18,0,0,-1,-1.006437696256243,-1.4448075615343512
2,5,56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,60,0,4382,692,3,3,-1,0.8638774029850739,-0.787799141829995
2,4,29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,40,1,4508,165,0,3,3,-1.0201656016733902,-1.7225521998548343
2,3,26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,56,1,4210,16,0,0,3,-1.4588999858072134,0.03967792152650467
0,3,23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,52,1,4200,79,0,0,-1,-1.619787103782146,-1.9057005147255255
3,5,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,62,0,4253,318,3,2,-1,0.0004248144862426035,-0.3155674677582623
2,2,81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,38,0,3963,778,1,1,-1,1.4558449832121507,0.9491986404332327
2,3,29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,65,2,4161,56,0,0,0,-1.918096814827437,-0.37204504960845
3,3,36138.0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,55,2,4187,151,2,2,0,-1.5389565848717273,0.6222601673510664
2,4,50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,68,1,3871,372,2,2,-1,-0.49125724369349894,1.1743660495103012
2,3,79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,52,0,3887,1366,1,1,2,2.04613800879778,0.5579648973671951
2,5,54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,58,1,3998,194,2,2,3,-0.46862045307520755,0.02484813522517856
4,3,51381.5,2,1,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,68,3,4426,603,3,3,-1,-1.0402939172649306,1.1941564510414258
2,4,51381.5,1,1,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,68,2,3872,18,2,0,0,-1.4331170805214746,1.049801085301384
3,5,51381.5,0,0,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,52,0,4057,985,1,1,-1,1.0202470273735145,0.07173085415508464
3,4,42394.0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,53,1,3937,32,2,0,3,-0.9533134695170544,0.936142158914508
4,3,23626.0,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,55,1,3875,43,2,0,-1,-1.4478392813667247,1.5589683184000054
2,3,30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,42,1,3877,45,2,0,3,-1.4478375243201402,0.8817265952099922
2,6,47916.0,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,65,1,4423,606,3,3,-1,-0.009538166846833854,-1.4217263364545214
2,2,51813.0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,53,2,4283,63,3,0,-1,-1.2478320494733417,0.05035476154600638
0,3,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,74,0,4049,978,1,1,-1,1.4822431601186654,-0.905673139404148
4,3,50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,42,0,4213,410,3,2,-1,0.4524576412662556,0.9268645283711476
0,4,47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,65,1,4180,72,0,0,-1,-0.9334982732340761,-0.9738923696732956
4,4,34554.0,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,66,1,3930,55,2,0,3,-1.0836113896674242,1.7356999867400533
2,5,85693.0,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,46,1,4274,1169,1,1,-1,1.6118965902470337,-0.476529492429137
4,3,65846.0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,80,0,4247,1120,1,1,-1,1.7029194489212873,0.570036158293177
2,3,87195.0,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,66,0,3891,1097,1,1,2,1.968478299722169,0.9385945313597657
1,5,24594.0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,46,1,4040,29,0,0,-1,-1.575741993058092,-1.0652303362781113
2,3,49096.0,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,61,2,4117,187,2,2,0,-1.2486734953210543,0.6328464376438712
2,3,52413.0,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,56,2,4351,910,3,3,0,-0.2607079358020856,-0.49102705534699503
2,4,38557.0,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,47,1,4396,145,3,3,3,-0.8561139086860357,-0.669838217081997
3,3,89058.0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,65,0,4408,850,1,1,-1,2.0551851247196975,0.11195691434728668
2,5,77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,46,1,4078,969,1,1,3,1.0639479982701088,0.20168652157646405
4,4,68126.0,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,34,0,4435,1820,1,1,-1,2.614825241348266,0.10142789500122851
3,5,57288.0,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,62,1,3843,608,2,1,-1,0.07086251321538845,1.581359277782204
2,4,86037.0,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,34,0,4382,730,1,1,-1,1.790283461273296,-1.2297420404583286
4,3,43974.0,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,45,1,4403,551,3,3,3,-0.10669572058940767,0.6211690468973639
2,4,50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,63,2,4131,114,2,2,0,-1.24477384053824,0.39226874032698394
2,3,90765.0,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,55,0,3995,1724,1,1,2,2.7878013503689547,0.6906013800894695
0,3,36550.0,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,47,1,4334,577,0,3,-1,-0.6519553184899869,-2.1388720038415716
0,5,30753.0,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,58,2,4192,81,0,0,-1,-1.97076512522998,-1.7916852460303725
2,5,21918.0,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,56,1,4066,33,0,0,3,-1.5724523284278464,-0.047128913344600926
3,5,56129.0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,72,1,4213,660,3,1,3,0.26193553875977876,0.0688723767209609
3,4,32557.0,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,58,1,3964,80,2,0,3,-1.1981228240510373,1.2789748323081596
3,3,19510.0,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,40,2,4137,30,2,0,-1,-2.1715713183832923,0.5219364056083783
2,2,30992.0,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,49,1,4272,43,0,0,3,-1.2617471491578036,-0.718981052164816
2,4,101970.0,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,42,0,4313,1135,1,1,-1,2.654201056639795,-0.681997096071855
0,5,71488.0,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,60,0,4335,559,0,1,-1,1.0074733809611274,-2.427610863569875
2,4,79607.0,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,41,0,4273,1923,1,1,2,2.819322248996942,-0.4924057445013145
3,3,54348.0,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,72,2,3860,90,2,0,0,-1.2079860550823764,1.7621696217320988
4,3,51381.5,0,1,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,64,1,4192,404,3,2,3,-0.13533526779266652,1.3114415592445408
4,5,77376.0,1,1,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,69,2,3889,661,2,2,-1,0.23244042747742852,2.015021652822361
2,3,62998.0,0,1,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,73,1,4111,463,3,1,3,0.05629209384590602,0.5588523812819152
3,1,61331.0,1,1,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,67,2,4315,632,3,3,-1,-0.27801855241065476,0.6524507335517107
2,3,73448.0,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,56,0,3978,725,1,1,2,1.1935277895674263,0.8107119983598677
2,3,51381.5,0,1,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0,62,1,4161,725,0,1,3,0.04971023161423586,-0.4825299534869793
4,3,41551.0,1,1,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,61,2,4158,279,2,2,0,-1.167305883388499,1.3240404648345032
4,5,62981.0,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,58,0,4308,1482,1,1,-1,2.0632667652052867,0.5463557339117593
1,2,9548.0,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,49,1,4529,29,0,0,-1,-1.901504122261037,-1.8217448734012238
4,3,33762.0,2,1,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,66,3,4196,106,2,0,-1,-2.1672818788783292,1.2934079447516054
4,1,35860.0,1,1,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,52,2,3880,49,2,0,-1,-1.7489450387524337,2.5027728307051507
4,2,36921.0,1,1,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,60,2,4175,38,2,0,-1,-1.5697014174574384,1.1489143998376277
3,4,92859.0,0,0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,33,0,4457,2077,1,1,-1,3.540087994563041,-0.4515564346717332
3,5,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,49,1,4066,1053,3,1,-1,0.8640601595083598,1.1238761818368013
2,3,86111.0,0,0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,63,0,4275,1385,1,1,2,2.4215670862339187,-0.6325284112063186
4,4,68352.0,0,1,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,51,1,4144,871,1,1,-1,0.875096680427353,1.239092697077018
2,5,41883.0,1,0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,37,1,4306,312,3,3,3,-0.5954622872308138,-0.4436938855451997
2,3,59809.0,0,2,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,49,2,4458,877,3,3,-1,-0.04183551132228616,-0.5850498566921291
2,3,23957.0,1,0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,50,1,4448,68,0,0,3,-1.3566802424847277,-1.105659737312709
2,5,38547.0,1,0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,44,1,4144,22,0,0,3,-1.060487101239574,-0.2698970727072621
0,3,35688.0,2,1,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,52,3,4515,211,0,3,-1,-2.1985273461733517,-2.4129678145489697
3,3,49605.0,0,0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,59,0,3847,127,2,2,-1,-0.0967820962275325,1.1817873253609488
3,3,59354.0,0,2,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,72,2,3905,459,2,2,-1,-0.6426553670223711,1.5637711385230377
2,3,65747.0,0,1,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,56,1,3953,460,2,2,3,0.09761388345644334,0.2961897491835197
0,5,46344.0,0,1,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,53,1,4401,429,0,3,-1,-0.4669440263188942,-2.05885731154775
2,1,34176.0,1,0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,37,1,3887,89,2,0,-1,-1.3289786243199466,1.2543102542897868
4,5,61010.0,0,1,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,73,1,4467,1021,3,3,3,0.983802726727743,-0.03368486627004015
2,5,69372.0,0,0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,76,0,4334,1381,1,1,2,1.9754762759397733,-0.5887319400620173
2,4,49967.0,0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,67,1,4195,306,3,2,3,-0.43801756030601197,0.15379158161961065
